"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC AAA-AA-A Corporate Bond All Stocks Index Fund G25","B2IY","GB00BGYBT035","Fixed interest","Passive","Sterling Corporate Bond","Markit iBoxx £ Non-Gilts (ex-BBB) Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/b5cca04f-83f6-48a4-bd59-a1ebc3121372/Fact-Sheet_AAA-AA-A-Corporate-Bond-All-Stocks-Index-Fund-LG-PMC-AAA-AA-A-Corporate-Bond-All-Stocks-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC AAA-AA-A Corporate Bond Over 15 Year Index Fund G25","B4IY","GB00BGYBT142","Fixed interest","Passive","Sterling Long Bond","Markit iBoxx £ Non-Gilts (ex-BBB) Over 15 Years Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/cc6b5260-337d-4cf0-851f-46cb03af720a/Fact-Sheet_AAA-AA-A-Corporate-Bond-Over-15-Year-Index-Fund-LG-PMC-AAA-AA-A-Corporate-Bond-Over-15-Year-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC AAA-AA Fixed Interest All Stocks Targeted Duration Fund G25","B1IY","GB00BGYBSW88","Fixed interest","Passive","Sterling Fixed Interest","","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/a848c8d7-5dec-4428-a20d-6a78f529b6e3/Fact-Sheet_AAA-AA-Fixed-Interest-All-Stocks-Targeted-Duration-Fund-LG-PMC-AAA-AA-Fixed-Interest-All-Stocks-Targeted-Duration-Fund-G25.pdf,Fact sheet,English"
"L&G PMC AAA-AA Fixed Interest Over 15 Year Targeted Duration Fund G25","B7HY","GB00BGYBSZ10","Fixed interest","Passive","Sterling Long Bond","","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/76a8e608-7c86-4e9b-ae9c-5e670fa2b32e/Fact-Sheet_AAA-AA-Fixed-Interest-Over-15-Year-Targeted-Duration-Fund-LG-PMC-AAA-AA-Fixed-Interest-Over-15-Year-Targeted-Duration-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Aegon Ethical Corporate Bond G25","B4HY","GB00BD1FVS97","Fixed interest","Active","Sterling Corporate Bond","Markit iBoxx Sterling Collateralized & Corporate Index","0.65","0.02","0.65","","0.67","https://fundcentres.lgim.com/srp/documents-id/d17f0da4-87d3-4644-9bc5-dad1ce6e3ad5/Fact-Sheet_Aegon-Ethical-Corporate-Bond-Fund-LG-PMC-Aegon-Ethical-Corporate-Bond-G25.pdf,Fact sheet,English"
"L&G PMC Aegon Ethical Equity G25","B1EY","GB00BGYBVZ23","Equity","Active","UK All Companies","FTSE All-Share Index","0.62","0.02","0.62","","0.64","https://fundcentres.lgim.com/srp/documents-id/8a2a9ebf-8cd6-48e0-aa49-b9298c2676e2/Fact-Sheet_Aegon-Ethical-Equity-Fund-LG-PMC-Aegon-Ethical-Equity-G25.pdf,Fact sheet,English"
"L&G PMC Aegon High Yield Bond G25","B6EY","GB00BD1FWR55","Fixed interest","Active","Sterling High Yield","Bloomberg Barclays Global Aggregate GBP Hedged","0.65","0.02","0.65","","0.67","https://fundcentres.lgim.com/srp/documents-id/3feeca8a-634b-459e-8b02-02f1d7780f85/Fact-Sheet_Aegon-High-Yield-Bond-Fund-LG-PMC-Aegon-High-Yield-Bond-G25.pdf,Fact sheet,English"
"L&G PMC Aegon Strategic Bond G25","B3HY","GB00BD1JR945","Fixed interest","Active","Sterling Strategic Bond","Bloomberg Barclays Global Aggregate GBP Hedged","0.65","0.02","0.65","","0.67","https://fundcentres.lgim.com/srp/documents-id/deb38106-deda-4ddc-8792-c81782fb8bfc/Fact-Sheet_Aegon-Strategic-Bond-Fund-LG-PMC-Aegon-Strategic-Bond-G25.pdf,Fact sheet,English"
"L&G PMC All Stocks Gilts Index Fund G25","B6GY","GB00BGYBT258","Fixed interest","Passive","UK Gilts","FTSE Actuaries UK Conventional Gilts All Stocks Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/33781485-25fa-491f-8a2f-191d6550d7b0/Fact-Sheet_All-Stocks-Gilts-Index-Fund-LG-PMC-All-Stocks-Gilts-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC All Stocks Index-Linked Gilts Index Fund G25","B5LY","GB00BGYBT365","Fixed interest","Passive","UK Index-linked Gilts","FTSE Actuaries UK Index-Linked Gilts All Stocks Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/4064dfa4-8b75-4dd7-b52a-a17074c7a9d6/Fact-Sheet_All-Stocks-Index-Linked-Gilts-Index-Fund-LG-PMC-All-Stocks-Index-Linked-Gilts-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Artemis Income G25","B4PY","GB00BD1FV234","Equity","Active","UK Equity Income","FTSE All-Share Index","0.8","0.05","0.8","","0.85","https://fundcentres.lgim.com/srp/documents-id/b613e08f-2a3b-4c41-ada2-e32fd660115e/Fact-Sheet_Artemis-Income-Fund-LG-PMC-Artemis-Income-G25.pdf,Fact sheet,English"
"L&G PMC Asia Pacific (ex Japan) Developed Equity Index Fund G25","B4LY","GB00BGYBT472","Equity","Passive","Asia Pacific excluding Japan Equities","FTSE Developed Asia Pacific ex Japan Index","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/921156e0-98a6-4bca-90d7-99fd43a9d90e/Fact-Sheet_Asia-Pacific-ex-Japan-Developed-Equity-Index-Fund-LG-PMC-Asia-Pacific-ex-Japan-Developed-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Asia Pacific (ex Japan) Equity Index Fund G25","B0IY","GB00BGYBT589","Equity","Passive","Asia Pacific excluding Japan Equities","FTSE World Asia Pacific ex Japan Index","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/8ff4f916-5d9a-4c58-9b1b-a35a3ba978d3/Fact-Sheet_Asia-Pacific-ex-Japan-Equity-Index-Fund-LG-PMC-Asia-Pacific-ex-Japan-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC CT Responsible Global Equity Fund G25","B3EY","GB00BGYBV189","Equity","Active","Global Equities","","0.80","0.04","0.80","","0.84","https://fundcentres.lgim.com/srp/documents-id/42614928-92e5-40ec-b426-07ce09292fd6/Fact-Sheet_CT-Responsible-Global-Equity-Fund-LG-PMC-CT-Responsible-Global-Equity-Fund-G25.pdf,Fact sheet,English"
"L&G PMC CT Responsible UK Income Fund G25","B4EY","GB00BGYBV304","Equity","Active","UK Equity Income","FTSE All-Share Index","0.80","0.05","0.80","","0.85","https://fundcentres.lgim.com/srp/documents-id/22c83d14-5b41-4f35-920c-2d396aa50c10/Fact-Sheet_BMO-Responsible-UK-Income-Fund-LG-PMC-CT-Responsible-UK-Income-Fund-G25.pdf,Fact sheet,English"
"L&G PMC BNY Mellon Global Income G25","B5HY","GB00BD1JS026","Equity","Active","Global Equities","FTSE World Index","0.9","0.04","0.9","","0.94","https://fundcentres.lgim.com/srp/documents-id/41bcb4ef-afed-444f-bb00-6be58dc6b04e/Fact-Sheet_BNY-Mellon-Global-Income-Fund-LG-PMC-BNY-Mellon-Global-Income-G25.pdf,Fact sheet,English"
"L&G PMC BNY Mellon Real Return G25","B7IY","GB00BGYBW609","Multi-asset","Active","Specialist","SONIA + 400 Bps","0.90","0.19","0.90","","1.09","https://fundcentres.lgim.com/srp/documents-id/e798f4e6-2329-4f99-8184-efbaaef51a77/Fact-Sheet_BNY-Mellon-Real-Return-Fund-LG-PMC-BNY-Mellon-Real-Return-G25.pdf,Fact sheet,English"
"L&G PMC Cash Fund G25","B5EY","GB00BGYBT811","Cash","Active","Deposit & Treasury","","0.200","0.00","0.200","","0.20","https://fundcentres.lgim.com/srp/documents-id/5aa30053-a204-42dd-9428-2df3ad59380f/Fact-Sheet_Legal-General-Cash-Trust-LG-PMC-Cash-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Consensus Index Fund G25","B2LY","GB00BGYBTC57","Multi-asset","Passive","Mixed Investment 40-85% Shares","","0.200","0.01","0.200","","0.21","https://fundcentres.lgim.com/srp/documents-id/1f003c1a-8f05-4c8d-9b44-26b036d7af33/Fact-Sheet_LGIM-LGAS-Mixed-Investment-40-85-Shares-Fund-LG-PMC-Consensus-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Distribution Fund G25","B0GY","GB00BGYBTH03","Multi-asset","Active","Mixed Investment 20-60% Shares","","0.25","0.05","0.25","","0.3","https://fundcentres.lgim.com/srp/documents-id/ac5d0d92-2302-4989-a431-855c2b1dd96a/Fact-Sheet_LG-Pension-Distribution-Fund-LG-PMC-Distribution-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Diversified Fund G25","B1KY","GB00BGYBTJ27","Multi-asset","Active","Mixed Investment 20-60% Shares","FTSE Developed World Index - 50% GBP Hedged","0.350","0.05","0.350","","0.4","https://fundcentres.lgim.com/srp/documents-id/077afbb5-30e5-4be8-9d13-f9051804f589/Fact-Sheet_Diversified-Fund-LG-PMC-Diversified-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Dynamic Diversified Fund G25","B2KY","GB00BGYBTM55","Multi-asset","Active","Flexible Investment","Bank of England base rate +4.5%","0.620","0.03","0.620","","0.65","https://fundcentres.lgim.com/srp/documents-id/5a349318-744f-4e26-bdcd-6acd848f516e/Fact-Sheet_Dynamic-Diversified-Fund-LG-PMC-Dynamic-Diversified-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Emerging Market US Government Bond G25","BCHY","BCHY","Fixed interest","Passive","Global High Yield","J.P. Morgan Emerging Markets Bond Index (EMBI) Global Diversified","0.32","0","0.32","","0.32","https://fundcentres.lgim.com/srp/documents-id/43c0ddf0-f411-489f-84eb-e5b6ba898d71/Fact-Sheet_Emerging-Market-Passive-US-Currency-Government-Bond-Fund-LG-PMC-Emerging-Market-US-Government-Bond-G25.pdf,Fact sheet,English"
"L&G PMC Ethical Global Equity Index Fund G25","B4JY","GB00BGYBTS18","Equity","Passive","Global Equities","FTSE 4Good Developed Index","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/29711e40-a774-40e0-9438-8fbadfa75dbe/Fact-Sheet_FTSE4Good-Developed-Equity-Index-Fund-LG-PMC-Ethical-Global-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Ethical UK Equity Index Fund G25","B6IY","GB00BGYBTT25","Equity","Passive","UK All Companies","FTSE4Good UK Equity Index","0.25","0.00","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/04170106-06c9-4159-8b49-e1a8094531e3/Fact-Sheet_FTSE4Good-UK-Equity-Index-Fund-LG-PMC-Ethical-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Europe (ex UK) Equity Index Fund G25","B0LY","GB00BGYBTV47","Equity","Passive","Europe excluding UK Equities","FTSE Developed Europe ex UK Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/3879296a-9b6d-4477-ad89-95e6ca59d2ae/Fact-Sheet_Europe-ex-UK-Equity-Index-Fund-LG-PMC-Europe-ex-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC FTSE Developed Core Infrastructure Index G25","BCKY","BCKY","Equity","Passive","Specialist","FTSE Developed Core Infrastructure Index","0.4","0","0.4","","0.4","https://fundcentres.lgim.com/srp/documents-id/ba9ce6dc-3b93-4758-a69b-21344069fb6b/Fact-Sheet_FTSE-Developed-Core-Infrastructure-Index-Fund-LG-PMC-FTSE-Developed-Core-Infrastructure-Index-G25.pdf,Fact sheet,English"
"L&G PMC Far Eastern Fund G25","B3FY","GB00BGYBV635","Equity","Active","Asia Pacific including Japan Equities","","0.300","0","0.300","","0.3","https://fundcentres.lgim.com/srp/documents-id/cc519e2b-d851-4e29-98ad-79f036ee4ff4/Fact-Sheet_LG-Pension-Far-Eastern-Fund-LG-PMC-Far-Eastern-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Fixed Interest Fund G25","B1FY","GB00BGYBV965","Fixed interest","Active","Sterling Fixed Interest","FTSE Actuaries UK Conventional Gilts All Stocks Index","0.2","0.00","0.2","","0.20","https://fundcentres.lgim.com/srp/documents-id/9f6934ec-188b-4c56-9a9b-7bf1ec53c624/Fact-Sheet_UK-Fixed-Interest-All-Stocks-Fund-LG-PMC-Fixed-Interest-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Fossil Fuel Exclusions Equity Index G25","BQQY","BQQY","Equity","Passive","Global Equities","FTSE All-World TPI Transition ex FF ex Tobacco ex Controversies Index","0.22","0.05","0.22","","0.27","https://fundcentres.lgim.com/srp/documents-id/27a0cada-c556-49ce-bbaf-c749ea840be7/Fact-Sheet_FTSE-TPI-Global-Fossil-Fuel-Exclusions-Equity-Index-Fund-LG-PMC-Global-Fossil-Fuel-Exclusions-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Fund G25","BM6Y","GB00BD1JRF03","Equity","Passive","Global Equities","FTSE All-World ex CW Climate Balanced Factor Index","0.34","0.00","0.34","","0.34","https://fundcentres.lgim.com/srp/documents-id/e06f4d6e-c33f-40b2-939a-1efdec82a14a/Fact-Sheet_Future-World-Fund-LG-PMC-Future-World-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Future World GBP Corporate Bond Index G25","BCMY","BCMY","Fixed interest","Passive","Sterling Corporate Bond","Solactive L&G ESG GBP Investment Grade Corporate TR Index","0.23","0","0.23","","0.23","https://fundcentres.lgim.com/srp/documents-id/548e2eb9-5201-416c-b3a3-b684d21f84d3/Fact-Sheet_Future-World-GBP-Corporate-Bond-Index-Fund-LG-PMC-Future-World-GBP-Corporate-Bond-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Global Equity Index G25","BCOY","BCOY","Equity","Passive","Global Equities","Solactive L&G ESG Global Markets Index","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/0370faf1-92ce-4e93-9457-edd37ab9d5f3/Fact-Sheet_Future-World-Global-Equity-Index-Fund-LG-PMC-Future-World-Global-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Multi-Asset Fund G25","BZ4Y","GB00BKWGV028","Multi-asset","Active","Mixed Investment 40-85% Shares","ABI Mixed Investment 40-85% Shares Sector","0.26","0","0.26","","0.26","https://fundcentres.lgim.com/srp/documents-id/8f8d3a6d-0321-4f54-8d57-57ed577d1950/Fact-Sheet_Future-World-Multi-Asset-Fund-LG-PMC-Future-World-Multi-Asset-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Developed Equity Index Fund G25","BAVY","BAVY","Equity","Passive","Global Equities","FTSE Developed World Index","0.2","0","0.2","","0.2","https://fundcentres.lgim.com/srp/documents-id/7dc31185-654b-487f-bf94-da160a3097d4/Fact-Sheet_World-Developed-Equity-Index-Fund-LG-PMC-Global-Developed-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Smaller Companies Equity Index G25","B7JY","GB00BD1FVD45","Equity","Passive","Global Equities","MSCI World Small Cap ex Selected Securities Index","0.32","0","0.32","","0.32","https://fundcentres.lgim.com/srp/documents-id/4000a3cc-88b6-444f-8088-4f9468a0874c/Fact-Sheet_MSCI-World-Small-Cap-ESG-Exclusions-Equity-Index-Fund-LG-PMC-Global-Smaller-Companies-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Global Emerging Markets Index Fund G25","B6HY","GB00BGYBVB88","Equity","Passive","Global Emerging Markets Equities","S&P/IFCI Composite Global Emerging Markets Index","0.250","0","0.250","","0.25","https://fundcentres.lgim.com/srp/documents-id/873a3570-6f59-4d4c-98df-fe6c56a215f1/Fact-Sheet_Global-Emerging-Markets-Equity-Index-Fund-LG-PMC-Global-Emerging-Markets-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity (70:30) Index Fund G25","B1HY","GB00BGYBVD03","Equity","Passive","Global Equities","Composite of 70/30 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/c32513a4-c43d-45a3-8e9a-77e61dbc0384/Fact-Sheet_Global-Equity-7030-Index-Fund-LG-PMC-Global-Equity-7030-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund G25","B3IY","GB00BGYBVF27","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/b63c3be8-1b58-4936-8bcd-25c3d1fde602/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund - GBP Currency Hedged G25","B0KY","GB00BGYBVL86","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/d5fbcf48-92c3-4868-b7c2-1fd748dc3adb/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-GBP-Currency-Hedged-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (60:40) Index Fund G25","B9HY","GB00BGYBVH41","Equity","Passive","Global Equities","Composite of 60/40 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/0de9caaa-2760-43af-8a1d-d5e6c0a1b093/Fact-Sheet_Global-Equity-Fixed-Weights-6040-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-6040-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Market Weights (30:70) Index Fund - GBP 75% Currency Hedged G25","B3LY","GB00BGYBVK79","Equity","Passive","Global Equities","Composite of 30/70 distribution between UK and overseas, 75% GBP Hedged","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/9fcaa889-bfb7-498d-9382-1f97d4c2779d/Fact-Sheet_Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-LG-PMC-Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-G25.pdf,Fact sheet,English"
"L&G PMC Global Real Estate Equity Index Fund G25","B4KY","GB00BD1FVG75","Equity","Passive","Property Other","FTSE EPRA/NAREIT Developed Real Estate Index","0.29","0","0.29","","0.29","https://fundcentres.lgim.com/srp/documents-id/fe5c5e95-2052-4530-8d1d-7e28849baaba/Fact-Sheet_Global-Real-Estate-Equity-Index-Fund-LG-PMC-Global-Real-Estate-Equity-Index-Fund-G25.pdf,Fact sheet,English"
